@RELATION wfshell

@ATTRIBUTE crashtime  DATE "yyyy-MM-dd HH:mm:ss"
@ATTRIBUTE crashcount   NUMERIC

@DATA
"2023-11-22 19:07:00","74"
"2023-11-22 20:07:00","4"
"2023-11-22 21:07:00","6"
"2023-11-22 22:07:00","1"
"2023-11-22 23:07:00","2"
"2023-11-23 00:07:00","1"
"2023-11-23 01:07:00","1"
"2023-11-23 02:07:00","1"
"2023-11-23 03:07:00","1"
"2023-11-23 04:07:00","1"
"2023-11-23 05:07:00","1"
"2023-11-23 06:07:00","1"
"2023-11-23 07:07:00","1"
"2023-11-23 08:07:00","1"
"2023-11-23 09:07:00","1"
"2023-11-23 10:07:00","1"
"2023-11-23 11:07:00","1"
"2023-11-23 12:07:00","1"
"2023-11-23 13:07:00","1"
"2023-11-23 14:07:00","1"
"2023-11-23 15:07:00","1"
"2023-11-23 16:07:00","1"
"2023-11-23 17:07:00","1"
"2023-11-23 18:07:00","1"
"2023-11-23 19:07:00","82"
"2023-11-23 20:07:00","3"
"2023-11-23 21:07:00","3"
"2023-11-23 22:07:00","1"
"2023-11-23 23:07:00","2"
"2023-11-24 00:07:00","1"
"2023-11-24 01:07:00","1"
"2023-11-24 02:07:00","1"
"2023-11-24 03:07:00","1"
"2023-11-24 04:07:00","1"
"2023-11-24 05:07:00","1"
"2023-11-24 06:07:00","1"
"2023-11-24 07:07:00","1"
"2023-11-24 08:07:00","1"
"2023-11-24 09:07:00","1"
"2023-11-24 10:07:00","1"
"2023-11-24 11:07:00","1"
"2023-11-24 12:07:00","1"
"2023-11-24 13:07:00","1"
"2023-11-24 14:07:00","1"
"2023-11-24 15:07:00","1"
"2023-11-24 16:07:00","1"
"2023-11-24 17:07:00","1"
"2023-11-24 18:07:00","1"
"2023-11-24 19:07:00","73"
"2023-11-24 20:07:00","1"
"2023-11-24 21:07:00","4"
"2023-11-24 22:07:00","1"
"2023-11-24 23:07:00","1"
"2023-11-25 00:07:00","1"
"2023-11-25 01:07:00","1"
"2023-11-25 02:07:00","1"
"2023-11-25 03:07:00","1"
"2023-11-25 04:07:00","1"
"2023-11-25 05:07:00","1"
"2023-11-25 06:07:00","1"
"2023-11-25 07:07:00","1"
"2023-11-25 08:07:00","1"
"2023-11-25 09:07:00","1"
"2023-11-25 10:07:00","1"
"2023-11-25 11:07:00","1"
"2023-11-25 12:07:00","1"
"2023-11-25 13:07:00","1"
"2023-11-25 14:07:00","1"
"2023-11-25 15:07:00","1"
"2023-11-25 16:07:00","1"
"2023-11-25 17:07:00","1"
"2023-11-25 18:07:00","1"
"2023-11-25 19:07:00","85"
"2023-11-25 20:07:00","6"
"2023-11-25 21:07:00","7"
"2023-11-25 22:07:00","2"
"2023-11-25 23:07:00","1"
"2023-11-26 00:07:00","1"
"2023-11-26 01:07:00","1"
"2023-11-26 02:07:00","1"
"2023-11-26 03:07:00","1"
"2023-11-26 04:07:00","1"
"2023-11-26 05:07:00","1"
"2023-11-26 06:07:00","1"
"2023-11-26 07:07:00","1"
"2023-11-26 08:07:00","1"
"2023-11-26 09:07:00","1"
"2023-11-26 10:07:00","1"
"2023-11-26 11:07:00","1"
"2023-11-26 12:07:00","1"
"2023-11-26 13:07:00","1"
